ID,Beschreibung,Kategorie ID,Kategorietext,Unterkategorie ID,Unterkategorietext,Ticket Label,Abteilung Label,Produkt Label,Priorität,Status,Angelegt Am,Angelegt Von,Geändert Am,Geändert Von,Auftraggeber,Meldender,Support Team,Bearbeiter,Erste Nachricht,Letzte Nachricht
2000014951,Exam next 8th january ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_SE ,System Erreichbarkeit ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.01.02	13:21:16,U2ES001KS1 ,2024.01.22	18:00:17,BORYS ,U2ES001 Public University of Navarra - UPNA ,U2ES001KS1 Frau Katrin Simon-Elorz ,0000000044 UCC UCC Supportteam ,H2851US4 Herr UCC Support,2024.01.02	13:21:16,2024.01.22	18:00:17
2000014952,S/4Global Bike Case Error Fiori Lauchpad,ZSD_SR_GUI ,SAP GUI , , ,1. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.01.02	18:59:52,H2521MP1 ,2024.01.23	18:00:06,BORYS ,H2521 RWTH Aachen University ,H2521MP1 Herr Martin Perau ,0000000047 APP Applikation ,H2851US4 Herr UCC Support,2024.01.02	18:59:52,2024.01.23	18:00:06
2000014953,Mandantenrücksetzung S77 Mandant 303 ,ZSD_SR_S4HANA ,SAP S/4 HANA ,ZSD_SR_S4HANA_MR ,Mandantenrücksetzung ,2. Level ,Basis ,GBI ,3: mittel ,E0008 Quittiert ,2024.01.03	11:13:32,H2483CL1 ,2024.01.24	18:00:04,BORYS ,H2483 Hochschule des Bundes für öffentliche Verwaltung Münster ,H2483CL1 Frau Carolin Luckenbach ,0000000046 BAS Basis ,H2851MN3 Herr Maximilian Niedermeier,2024.01.03	11:13:31,2024.01.24	18:00:04
2000014954,Hostname unknown ,ZSD_SR_GUI ,SAP GUI , , ,1. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.01.03	13:32:38,U2GB050DP1 ,2024.01.28	18:00:31,BORYS ,U2GB050 Ulster University ,U2GB050DP1 Herr David Pettigrew ,0000000044 UCC UCC Supportteam ,H2851US4 Herr UCC Support,2024.01.03	13:32:38,2024.01.28	18:00:31
2000014955,Change the settings for my user ,ZSD_SR_AA ,Allgemeine Anfragen ,ZSD_SR_AA_SU ,S-User ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.01.04	08:58:21,U2RO007FM1 ,2024.02.13	18:00:34,MASTER-ADM ,U2RO007 The Bucharest University of Economic Studies ,U2RO007FM1 Herr Florin Mihai ,0000000047 APP Applikation ,H2851NB3 Frau Niluefer Faizan,2024.01.04	08:58:21,2024.02.13	18:00:34
2000014956,Passwort für Masteruser zurücksetzen ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_PRM ,Passwortrücksetzung für Masteruser ,1. Level , , ,3: mittel ,E0008 Quittiert ,2024.01.04	15:54:52,H2483CL1 ,2024.01.24	18:00:04,BORYS ,H2483 Hochschule des Bundes für öffentliche Verwaltung Münster ,H2483CL1 Frau Carolin Luckenbach ,0000000047 APP Applikation ,H2851US4 Herr UCC Support,2024.01.04	15:54:52,2024.01.24	18:00:04
2000014957,Preisfortschreibung funktioniert nicht ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_FP ,GBI Fallstudienproblem ,2. Level , , ,3: mittel ,E0008 Quittiert ,2024.01.04	22:10:49,H2952TW1 ,2024.02.14	18:00:37,MASTER-ADM ,H2952 Hochschule für Angewandte Wissenschaften Hof ,H2952TW1 Frau Tina Wiegand ,0000000047 APP Applikation ,H2851NB3 Frau Niluefer Faizan,2024.01.04	22:10:49,2024.02.14	18:00:37
2000014958,Passwortrücksetzung Masteruser ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_PRM ,Passwortrücksetzung für Masteruser ,1. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.01.05	12:03:18,H2483CL1 ,2024.01.28	18:00:32,BORYS ,H2483 Hochschule des Bundes für öffentliche Verwaltung Münster ,H2483CL1 Frau Carolin Luckenbach ,0000000047 APP Applikation ,H2851US4 Herr UCC Support,2024.01.05	12:03:18,2024.01.28	18:00:32
2000014959,Passwort MASTER USER zurücksetzen ,ZSD_SR_S4SCH ,SAP4school IUS ,ZSD_SR_S4SCH_PRM ,Passwortrücksetzung für Masteruser ,1. Level ,Applikation ,SAP4School ,3: mittel ,E0008 Quittiert ,2024.01.07	10:45:25,H2404AK1 ,2024.01.28	18:00:33,BORYS ,H2404 Berufskolleg Hilden ,H2404AK1 Frau Anne Kurtz ,0000000047 APP Applikation ,H2851US4 Herr UCC Support,2024.01.07	10:45:25,2024.01.28	18:00:33
2000014960,Prüfung am 30.01. ab 14:30 Uhr ,ZSD_SR_GUI ,SAP GUI , , ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.01.08	08:34:13,H2561CS2 ,2024.01.28	18:00:34,BORYS ,H2561 Hochschule Koblenz ,H2561CS2 Frau Caroline Selsam ,0000000047 APP Applikation ,H2851NW2 Frau Nathalie Wolf,2024.01.08	08:34:13,2024.01.28	18:00:34
2000014961,Financial Accounting module ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_SON ,Sonstiges ,2. Level ,Applikation ,Sonstiges ,3: mittel ,E0008 Quittiert ,2024.01.08	09:17:17,H2851US4 ,2024.02.17	18:00:17,MASTER-ADM ,U2GB005 Sheffield Hallam University ,U2GB005SS1 Herr Sameh Saad ,0000000047 APP Applikation ,H2851NB3 Frau Niluefer Faizan,2024.01.08	09:17:17,2024.02.17	18:00:17
2000014962,TS410 Kursanmeldung ,ZSD_SR_TERP ,TERP 10 ,ZSD_SR_TERP_ANF ,TERP10 Anfrage ,2. Level ,Applikation ,TS410 ,3: mittel ,E0008 Quittiert ,2024.01.08	09:35:49,H2371MG1 ,2024.01.28	18:00:34,BORYS ,H2371 Georg-August-Universität Göttingen ,H2371MG1 Herr Michael Groth ,0000000047 APP Applikation ,H2851AF4 Frau Ann-Christin Fleischle,2024.01.08	09:35:49,2024.01.28	18:00:34
2000014963,Problem creating a connection ,ZSD_SR_GUI ,SAP GUI , , ,1. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.01.08	10:25:22,U2GR001AG1 ,2024.01.28	18:00:35,BORYS ,U2GR001 University of Piraeus ,U2GR001AG1 Frau Aggeliki Gerondi ,0000000047 APP Applikation ,H2851US4 Herr UCC Support,2024.01.08	10:25:22,2024.01.28	18:00:35
2000014964,GUI Requirement ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_SON ,Sonstiges ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.01.08	13:09:43,U2GB050DP1 ,2024.02.18	18:00:50,MASTER-ADM ,U2GB050 Ulster University ,U2GB050DP1 Herr David Pettigrew ,0000000047 APP Applikation ,H2851NB3 Frau Niluefer Faizan,2024.01.08	13:09:43,2024.02.18	18:00:50
2000014965,Probleme bei Mandantenrücksetzung ,ZSD_SR_GBI ,SAP ERP GBI ,ZSD_SR_GBI_MR ,Mandantenrücksetzung ,2. Level ,Applikation ,GBI ,3: mittel ,E0008 Quittiert ,2024.01.09	12:10:37,H2891GW1 ,2024.02.12	18:00:42,BORYS ,H2891 Hochschule Neu-Ulm ,H2891GW1 Herr Gerhard Welte ,0000000046 BAS Basis ,H2851TT7 Herr Thomas Teubner,2024.01.09	12:10:37,2024.02.12	18:00:42
2000014966,Fehlermeldung zu Fiori / UI5 ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_SON ,Sonstiges ,2. Level ,Basis ,GBS/Digital Transformation Curriculum ,3: mittel ,E0008 Quittiert ,2024.01.09	15:33:46,H2731MR1 ,2024.01.30	18:00:21,BORYS ,H2731 Hochschule Aalen ,H2731MR1 Herr Manfred Rössle ,0000000046 BAS Basis ,H2851MN3 Herr Maximilian Niedermeier,2024.01.09	15:33:46,2024.01.30	18:00:21
2000014967,mal wieder die Performance ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_SE ,System Erreichbarkeit ,2. Level ,Basis ,Sonstiges ,3: mittel ,E0008 Quittiert ,2024.01.09	23:15:24,H2441MG1 ,2024.02.04	18:00:11,BORYS ,H2441 Fachhochschule Dortmund ,H2441MG1 Herr Marcus Görtz ,0000000046 BAS Basis ,H2851TT7 Herr Thomas Teubner,2024.01.09	23:15:24,2024.02.04	18:00:11
2000014968,Request GBI 4.1 and ERPsim for SUSS ,ZSD_SR_KTV ,Verwaltung , , ,2. Level ,Applikation ,ERPsim ,3: mittel ,E0008 Quittiert ,2024.01.10	04:05:00,U2AU002SB1 ,2024.01.12	09:33:17,H2851PL1 ,U2AU002 ACC Melbourne Victoria University Business School ,U2AU002SB1 Herr Scott Bingley ,0000000047 APP Applikation ,H2851PL1 Herr Philipp Landler,2024.01.10	04:05:00,2024.01.12	03:33:56
2000014969,Lange Ladezeiten ,ZSD_SR_GBI ,SAP ERP GBI ,ZSD_SR_GBI_SE ,System Erreichbarkeit ,2. Level ,Basis ,Sonstiges ,3: mittel ,E0008 Quittiert ,2024.01.10	08:04:10,H2451MW1 ,2024.01.30	18:00:22,BORYS ,H2451 Universität Duisburg-Essen UDE ,H2451MW1 Frau Mareen Wienand ,0000000046 BAS Basis ,H2851MN3 Herr Maximilian Niedermeier,2024.01.10	08:04:10,2024.01.30	18:00:22
2000014970,Laufzeitverhalten suboptimal (S96-300) ,ZSD_SR_S4HANA ,SAP S/4HANA und DT Curriculum ,ZSD_SR_S4HANA_SE ,System Erreichbarkeit ,2. Level ,Basis ,Sonstiges ,3: mittel ,E0008 Quittiert ,2024.01.10	09:24:47,H2501PE1 ,2024.01.10	10:54:40,H2501PE1 ,H2501 Bundesfinanzakademie BFA Brühl vertragsführende Stelle: ITZ Bund Bonn ,H2501PE1 Herr Peter Etzkorn ,0000000046 BAS Basis ,H2851MN3 Herr Maximilian Niedermeier,2024.01.10	09:24:47,2024.01.10	10:24:00
2000014971,SAP system S12 - performance issues ,ZSD_SR_GBI ,SAP ERP GBI ,ZSD_SR_GBI_SON ,Sonstiges ,2. Level ,Basis ,Sonstiges ,3: mittel ,E0008 Quittiert ,2024.01.10	09:43:21,U2RO007FM1 ,2024.01.30	18:00:23,BORYS ,U2RO007 The Bucharest University of Economic Studies ,U2RO007FM1 Herr Florin Mihai ,0000000046 BAS Basis ,H2851MN3 Herr Maximilian Niedermeier,2024.01.10	09:43:21,2024.01.30	18:00:23
